@relation bank-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-V-weka.filters.supervised.instance.SMOTE-C0-K3-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K3-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K3-P93.0-S1-weka.filters.unsupervised.instance.Randomize-S42

@attribute age numeric
@attribute job {unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown}
@attribute marital {married,single,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute default {no,yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact {cellular,unknown,telephone}
@attribute day numeric
@attribute month {oct,may,apr,jun,feb,aug,jan,jul,nov,sep,mar,dec}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute y {no,yes}

@data
39,self-employed,married,tertiary,no,585,yes,no,cellular,18,nov,48,1,181,3,no
48,entrepreneur,married,tertiary,no,810,no,no,unknown,6,jun,383,1,-1,0,no
29.928346,management,married,secondary,no,-119.25614,yes,yes,cellular,17.723451,may,622.355756,2.009963,293.837195,1.310371,yes
43,unemployed,married,secondary,no,3529,no,no,cellular,5,feb,169,2,-1,0,no
36.805277,unemployed,married,secondary,no,600.540855,yes,no,cellular,25.271236,may,1317.519671,12.306621,-1,0,yes
41,management,married,tertiary,no,666,yes,no,unknown,21,may,253,3,-1,0,no
41,technician,single,secondary,no,-41,yes,yes,cellular,3,apr,154,1,-1,0,no
35.693548,management,single,secondary,no,1581.06578,no,no,cellular,12.75297,oct,270.276835,1,-1,0,yes
43.166486,technician,married,secondary,no,275.539025,no,no,cellular,25.390644,oct,429.145748,1,123.822867,1,yes
38.671129,technician,married,secondary,no,903.961502,no,no,cellular,11.781545,feb,693.128013,1.91409,131.00685,3.556437,yes
50,management,divorced,tertiary,no,356,no,no,cellular,8,may,198,2,358,5,no
59.973355,management,married,tertiary,no,5999.796331,no,no,cellular,2.686799,feb,886.157323,2.88743,-1,0,yes
31,technician,single,secondary,no,391,no,no,cellular,13,aug,336,2,-1,0,no
33.564377,management,married,secondary,no,-485.944203,yes,yes,cellular,13.117819,may,772.768821,2,225.033113,5.818559,yes
47.279657,admin.,married,secondary,no,445.597292,no,no,cellular,11.354959,apr,599.756725,1,-1,0,yes
33,management,divorced,tertiary,no,0,no,no,cellular,13,aug,305,2,-1,0,no
34.696834,management,married,secondary,no,255.03652,no,no,cellular,15.609609,may,429.336377,3.881842,336.661931,1.298365,yes
53.872076,management,married,secondary,no,-1177.464336,yes,no,cellular,9.780782,jun,433.648971,2.252483,-1,0,yes
49,services,married,secondary,no,5673,no,yes,cellular,4,aug,357,3,-1,0,no
32,admin.,single,tertiary,no,-59,no,yes,unknown,4,jul,192,1,-1,0,no
59.506503,management,married,secondary,no,0,no,no,cellular,21.628147,oct,221.514622,1.347326,-1,0,yes
37,admin.,single,tertiary,no,2317,yes,no,cellular,20,apr,114,1,152,2,no
36,admin.,married,secondary,no,465,yes,no,unknown,20,may,160,1,-1,0,no
30,technician,married,tertiary,no,569,no,no,cellular,27,aug,976,12,-1,0,yes
61.240349,retired,married,secondary,no,2888.409758,no,no,cellular,6.534801,oct,208.771783,1,-1,0,yes
35,blue-collar,married,secondary,no,1949,yes,no,unknown,2,jun,200,3,-1,0,no
74.360822,retired,married,primary,no,224.135311,no,no,cellular,19.052677,oct,107.938246,1,-1,0,yes
69.661606,retired,married,secondary,no,2858.737917,no,no,cellular,7.615757,oct,204.224459,1,-1,0,yes
54.11178,management,married,secondary,no,-1186.965962,yes,no,cellular,9.071067,jun,468.119199,1.150362,-1,0,yes
38.178158,services,married,secondary,no,823.642519,no,no,cellular,9.83409,apr,777.575591,1.687541,-1,0,yes
30,management,single,tertiary,no,149,yes,no,unknown,3,jun,220,2,-1,0,no
43.870431,blue-collar,married,primary,no,4083.461936,no,no,cellular,6.823222,oct,528.734926,1.859468,0.777658,0.393457,yes
26.645668,student,married,tertiary,no,92.079107,no,no,cellular,8.486829,apr,106.017435,2.139152,0.266807,3.677631,yes
42,admin.,married,unknown,no,642,yes,yes,unknown,16,may,509,2,-1,0,no
39,admin.,single,unknown,no,0,yes,no,cellular,11,may,62,1,-1,0,no
33,blue-collar,married,secondary,no,331,yes,no,cellular,14,may,178,7,365,5,no
33,admin.,married,secondary,no,220,yes,no,unknown,27,may,345,1,-1,0,no
39.179955,services,married,secondary,no,3.352472,no,no,cellular,22.09688,oct,268,1.683198,227.662771,3.019441,yes
52,services,married,secondary,no,2072,no,no,cellular,10,jul,224,1,-1,0,no
34.093995,admin.,divorced,secondary,no,-261.871156,no,no,cellular,17.882439,jul,657.419008,1,-1,0,yes
44,management,single,tertiary,no,-1313,yes,yes,cellular,15,may,104,10,-1,0,no
27,technician,married,secondary,no,130,yes,no,cellular,7,may,265,3,-1,0,no
52,entrepreneur,married,tertiary,no,0,no,no,unknown,19,jun,163,3,-1,0,no
42.914309,services,divorced,secondary,no,405.739156,no,no,unknown,13.674666,may,1934.308764,2.13977,-1,0,yes
39.791277,technician,married,secondary,no,11.335176,no,no,cellular,22.587262,aug,833.259353,3.638897,-1,0,yes
35,unemployed,married,secondary,no,977,yes,no,cellular,4,may,52,4,91,1,no
41.950784,management,single,tertiary,no,4957.713975,no,no,cellular,4.5332,oct,305.863785,3.422238,53.569315,0.037859,yes
44,blue-collar,married,primary,no,-14,yes,yes,unknown,19,may,179,4,-1,0,no
43,technician,married,secondary,no,0,yes,yes,cellular,4,feb,539,8,204,5,no
78.585755,retired,married,tertiary,no,8606.612327,no,no,telephone,18.044939,jun,264.286472,2,258.717194,0.723096,yes
42.817309,services,single,secondary,no,438.865344,no,no,cellular,16.818798,aug,1865.162261,2.956817,-1,0,yes
35,admin.,married,secondary,no,0,no,no,unknown,7,may,326,1,-1,0,no
33.421544,management,single,secondary,no,486.732478,no,no,cellular,22.313363,apr,227.97536,1,-1,0,yes
39.332569,management,married,tertiary,no,1340.82205,no,no,cellular,25.987589,apr,374.647428,1.384937,21.321091,2.117321,yes
24.715767,blue-collar,married,secondary,no,194.988043,yes,no,cellular,16.312481,may,483.163173,1,-1,0,yes
45.278312,blue-collar,married,secondary,no,1905.823734,no,no,cellular,14.163733,oct,744.133595,2,-1,0,yes
33.55802,technician,married,secondary,no,57.130238,no,no,cellular,22.656811,may,821.482116,2.327974,-1,0,yes
45.677955,blue-collar,married,secondary,no,1909.561979,no,no,cellular,12.4441,oct,745.489044,2,-1,0,yes
59.59048,management,married,secondary,no,0,no,no,cellular,19.790922,oct,216.257993,1.231466,-1,0,yes
59.980616,services,married,secondary,no,503.986571,no,no,cellular,15.155732,apr,466.687751,1,57.659595,1,yes
38,services,divorced,secondary,no,792,no,no,unknown,6,jun,430,1,-1,0,no
34.893184,blue-collar,married,secondary,no,662.544684,no,no,cellular,17.586809,jul,955.497775,3.693458,-1,0,yes
34,admin.,married,tertiary,no,69,no,yes,cellular,4,aug,120,3,1,6,yes
46.803794,services,single,secondary,no,319.683715,no,no,cellular,10.124917,aug,1760.254054,2.959151,-1,0,yes
35,self-employed,married,secondary,no,670,no,no,cellular,9,jul,378,1,-1,0,no
49.041568,unemployed,married,secondary,no,2928.265398,no,no,cellular,18.60798,aug,839.848991,8.467544,-1,0,yes
55,services,married,secondary,no,557,no,no,unknown,19,jun,58,1,-1,0,no
47,unemployed,married,primary,no,168,yes,no,telephone,30,jan,66,1,241,1,no
38,unemployed,married,primary,no,1147,yes,yes,unknown,8,may,249,5,-1,0,no
46,blue-collar,married,secondary,no,182,no,no,cellular,4,feb,56,1,-1,0,no
50,management,married,tertiary,no,3463,no,yes,cellular,28,oct,96,1,-1,0,yes
56,retired,married,secondary,no,1333,no,no,cellular,28,aug,17,14,-1,0,no
42,technician,married,secondary,no,1048,yes,no,telephone,6,feb,23,2,-1,0,no
48.06454,admin.,married,secondary,no,453.654093,no,no,cellular,5.064174,apr,564.493469,1,-1,0,yes
45.72538,retired,married,tertiary,no,14795.33263,no,no,cellular,12.70347,sep,566.972987,1.067399,-1,0,yes
42,technician,divorced,secondary,no,1533,no,yes,cellular,5,aug,86,1,-1,0,no
49.009681,blue-collar,married,primary,no,4104.168915,no,no,cellular,4.946797,oct,448.584,2,-1,0,yes
35,blue-collar,married,secondary,no,6411,yes,yes,cellular,30,jan,144,1,266,2,no
35,services,married,secondary,no,109,yes,no,unknown,6,may,597,3,-1,0,no
62.225124,self-employed,married,tertiary,no,4638.287586,no,no,cellular,13.8003,apr,180.64566,1,-1,0,yes
32.759899,unemployed,married,primary,no,3300.030834,no,no,cellular,6.394123,apr,242.942765,1.372812,67.04851,0.749535,yes
36,services,married,secondary,no,1981,no,no,unknown,17,jun,48,2,-1,0,no
41,management,married,tertiary,no,49,yes,no,cellular,17,jul,312,5,-1,0,no
35.356148,technician,married,secondary,no,4492.268497,yes,no,cellular,17.509294,may,900.523253,1.792722,10.012065,1.55805,yes
50,housemaid,married,secondary,no,7317,yes,no,cellular,13,may,172,1,370,1,no
37,technician,divorced,secondary,no,79,no,no,cellular,21,jul,191,1,-1,0,no
38.507098,management,single,secondary,no,72.926477,no,no,cellular,18.289883,may,1202.873167,4.842959,-1,0,yes
